site_name,sample_id,lat,lon,altitude_masl,period,period_from,period_to,c14_method,c14_lab_code,c14_bp,c14_error,c14_cal_from,c14_cal_to,material_dated,lab_id,type_source,taxon_local,genus_species,sample_type,tissue_collagen,element_collagen,yield_pct,wt_C,wt_N,CN_ratio,d13C_collagen,d15N,wt_S,d34S,tissue_carbonate,element_carbonate,d13C_carbonate,d18O_carbonate,Sr87_Sr86,reference_short,doi,locality,admin_region,ecozone
Arica,Delphinus delphis,-18.478908,-70.320551,26.0,Modern,,,,,,,,,,,Marine fauna,Common dolphin,Delphinus delphis,Bone,Bone collagen,,,,,,-12.7,18.9,,,,,,,,Tieszen and Chapman (1992),https://keep.lib.asu.edu/items/153660,"Arica Coast, Lluta River",Arica y Parinacota,Littoral
Arica,Otaria flavescens,-18.478908,-70.320551,26.0,Modern,,,,,,,,,,,Marine fauna,South American sea lion,Otaria flavescens,Bone,Bone collagen,,,,,,-12.9,20.2,,,,,,,,Tieszen and Chapman (1992),https://keep.lib.asu.edu/items/153660,"Arica Coast, Lluta River",Arica y Parinacota,Littoral
Arica,Otaria flavescens,-18.478908,-70.320551,26.0,Modern,,,,,,,,,,,Marine fauna,South American sea lion,Otaria flavescens,Fur,Fur keratin,,,,,,-13.8,,,,,,,,,Tieszen and Chapman (1992),https://keep.lib.asu.edu/items/153660,"Arica Coast, Lluta River",Arica y Parinacota,Littoral
Arica,Otaria flavescens,-18.478908,-70.320551,26.0,Modern,,,,,,,,,,,Marine fauna,South American sea lion,Otaria flavescens,Skin,Skin collagen,,,,,,-16.1,18.2,,,,,,,,Tieszen and Chapman (1992),https://keep.lib.asu.edu/items/153660,"Arica Coast, Lluta River",Arica y Parinacota,Littoral
Arica,Pelicanus occidentalis,-18.478908,-70.320551,26.0,Modern,,,,,,,,,,,Marine fauna,Brown pelican,Pelicanus occidentalis,Bone,Bone collagen,,,,,,-12.8,16.7,,,,,,,,Tieszen and Chapman (1992),https://keep.lib.asu.edu/items/153660,"Arica Coast, Lluta River",Arica y Parinacota,Littoral
Arica,Pelicanus occidentalis,-18.478908,-70.320551,26.0,Modern,,,,,,,,,,,Marine fauna,Brown pelican,Pelicanus occidentalis,Beak,Beak keratin,,,,,,-13.2,,,,,,,,,Tieszen and Chapman (1992),https://keep.lib.asu.edu/items/153660,"Arica Coast, Lluta River",Arica y Parinacota,Littoral
Arica,Pelicanus occidentalis,-18.478908,-70.320551,26.0,Modern,,,,,,,,,,,Marine fauna,Brown pelican,Pelicanus occidentalis,Feather,Feather keratin,,,,,,-14.2,,,,,,,,,Tieszen and Chapman (1992),https://keep.lib.asu.edu/items/153660,"Arica Coast, Lluta River",Arica y Parinacota,Littoral
Arica,Prionace glauca,-18.478908,-70.320551,26.0,Modern,,,,,,,,,,,Marine fauna,Blue shark,Prionace glauca,Meat,Muscle,,,,,,-16.6,17.8,,,,,,,,Tieszen and Chapman (1992),https://keep.lib.asu.edu/items/153660,"Arica Coast, Lluta River",Arica y Parinacota,Littoral
Arica,Prionace glauca,-18.478908,-70.320551,26.0,Modern,,,,,,,,,,,Marine fauna,Blue shark,Prionace glauca,Bone,Bone collagen,,,,,,-14.7,,,,,,,,,Tieszen and Chapman (1992),https://keep.lib.asu.edu/items/153660,"Arica Coast, Lluta River",Arica y Parinacota,Littoral
Arica,Squalus acanthius,-18.478908,-70.320551,26.0,Modern,,,,,,,,,,,Marine fauna,Spiny dogfish,Squalus acanthius,Bone,Bone collagen,,,,,,-14.1,21.6,,,,,,,,Tieszen and Chapman (1992),https://keep.lib.asu.edu/items/153660,"Arica Coast, Lluta River",Arica y Parinacota,Littoral
