site_name,period_broad,period,lab_id,period_from,period_to,sample_id,lat,lon,altitude_masl,c14_method,c14_lab_code,c14_bp,c14_error,c14_cal_from,c14_cal_to,material_dated,sex,age_category,age_min,age_max,sample_type,tissue,element,tissue_age,tissue_age_min,tissue_age_max,yield_pct,wt_C,wt_N,CN_ratio,d13C,d15N,wt_S,d34S,tissue_carbonate,element_carbonate,tissue_age_carbonate,tissue_age_carbonate_min,tissue_age_carbonate_max,d13C_carbonate,d18O_carbonate,Sr87_Sr86,reference_short,doi,locality,admin_region,ecozone
Camarones 17,Archaic,Archaic,Camarones-17 Tomb-1 Body-4,-8000.0,-1500,Camarones-17 Tomb-1 Body-4,-19.194182,-70.264011,38,,,,,,,,und,Infant-1,0.0,0.5,Hair,Hair keratin,,Infant-1,0.0,0.5,,,,,,31.7,,17.7,,,,,,,,,Aufderheide et al. (1993),https://doi.org/10.1002/ajpa.1330910205,Lower Camarones Valley,Arica y Parinacota,Coast
Chinchorro 1,Archaic,Archaic,Chinchorro-1 Tomb-1 Body-2,-8000.0,-1500,Chinchorro-1 Tomb-1 Body-2,-18.4616376,-70.296254,30,,,,,,,,und,Infant-2,2.6,3.6,Hair,Hair keratin,,Infant-2,2.6,3.6,,,,,,,,15.4,,,,,,,,,Aufderheide et al. (1993),https://doi.org/10.1002/ajpa.1330910205,"Chinchorro beach, Arica",Arica y Parinacota,Coast
Maderas Enco 1,Archaic,Archaic,ME-C2,-8000.0,-2000,ME-C2,-18.4565,-70.2954,30,,,,,,,,,,,,Hair,Hair keratin,a,,,,,39.6,12.1,3.8,-13.0,23.3,3.2,16.7,,,,,,,,,Mora et al. (2017),http://dx.doi.org/10.1016/j.quaint.2016.10.018,Arica Coast,Arica y Parinacota,Coast
Maderas Enco 1,Archaic,Archaic,ME-C2,-8000.0,-2000,ME-C2,-18.4565,-70.2954,30,,,,,,,,,,,,Hair,Hair keratin,b,,,,,41.1,12.5,3.8,-12.9,23.2,3.8,19.0,,,,,,,,,Mora et al. (2017),http://dx.doi.org/10.1016/j.quaint.2016.10.018,Arica Coast,Arica y Parinacota,Coast
Morro 1,Archaic,Archaic,M1-T28-C8,-8000.0,-2000,M1-T28-C8,-18.481108,-70.321679,62,,,,,,,,,,,,Hair,Hair keratin,a,,,,,41.2,13.3,3.6,-12.7,22.0,2.6,15.1,,,,,,,,,Mora et al. (2017),http://dx.doi.org/10.1016/j.quaint.2016.10.018,Arica Coast,Arica y Parinacota,Coast
Morro 1,Archaic,Archaic,M1-T28-C8,-8000.0,-2000,M1-T28-C8,-18.481108,-70.321679,62,,,,,,,,,,,,Hair,Hair keratin,b,,,,,41.3,13.2,3.7,-12.9,22.0,,,,,,,,,,,Mora et al. (2017),http://dx.doi.org/10.1016/j.quaint.2016.10.018,Arica Coast,Arica y Parinacota,Coast
Acha 2,Archaic,Early Archaic,Acha-2 Tomb-1 Body-1,-6380.0,-6120,Acha-2 Tomb-1 Body-1,-18.34947,-70.343383,45,14C,GX15082,8970.0,255.0,-8749.0,-7511.0,Mummified tissue (muscle),M,Young Adult,25.0,30.0,Muscle,Muscle,,Young Adult,25.0,30.0,,,,,-18.25,27.2,,15.8,Muscle,,Adult,,,,,0.70857,Aufderheide et al. (1993),https://doi.org/10.1002/ajpa.1330910205,"Acha Ravine, Lower Azapa Valley",Arica y Parinacota,Coast
Acha 3,Archaic,Early Archaic,SrCHIL 45,-6380.0,-6120,Acha3C1,-18.5041,-70.2799,88,,,,,,,,M,Adult,,,Tooth,,,,,,,,,,,,,,Enamel,Mand LM3,Child-2/Adolescent-1,8.5,14.0,,,0.708703,Standen et al. (2017),https://doi.org/10.1002/gea.21594,Arica Coast,Arica y Parinacota,Coast
Acha 3,Archaic,Early Archaic,SrCHIL 46,-6380.0,-6120,Acha3C4,-18.5041,-70.2799,88,,,,,,,,M,Adult,,,Tooth,,,,,,,,,,,,,,Enamel,Max LM3,Child-2/Adolescent-1,8.5,14.0,,,0.708607,Standen et al. (2017),https://doi.org/10.1002/gea.21594,Arica Coast,Arica y Parinacota,Coast
Azapa 14,Formative,Early Formative,AZ14 T1,-1500.0,-500,AZ14 T1,-18.520743,-70.219859,234,,,,,,,,M,Adult,,,Tooth,,,,,,,,,,,,,,Enamel,Max RM3,Child-2/Adolescent-1,8.5,14.0,,,0.70736,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 14,Formative,Early Formative,AZ14 T10,-1500.0,-500,AZ14 T10,-18.520743,-70.219859,234,,,,,,,,M,Adult,,,Tooth,,,,,,,,,,,,,,Enamel,Max LM3,Child-2/Adolescent-1,8.5,14.0,,,0.708978,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 14,Formative,Early Formative,AZ14 T21,-1500.0,-500,AZ14 T21,-18.520743,-70.219859,234,,,,,,,,M,Adult,,,Tooth,,,,,,,,,,,,,,Enamel,Mand LM2,Infant-2/Child-1,2.5,8.0,,,0.706912,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 14,Formative,Early Formative,AZ14 T38,-1500.0,-500,AZ14 T38,-18.520743,-70.219859,234,,,,,,,,F,Adult,,,Tooth,,,,,,,,,,,,,,Enamel,,,,,,,0.708757,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 14,Formative,Early Formative,AZ14 T59,-1500.0,-500,AZ14 T59,-18.520743,-70.219859,234,,,,,,,,M,Adult,,,Tooth,,,,,,,,,,,,,,Enamel,Max RM3,Child-2/Adolescent-1,8.5,14.0,,,0.707186,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 14,Formative,Early Formative,AZ14 T65A,-1500.0,-500,AZ14 T65A,-18.520743,-70.219859,234,,,,,,,,M,Adult,,,Tooth,,,,,,,,,,,,,,Enamel,,,,,,,0.707925,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
