site_name,sample_id,lat,lon,altitude_masl,period,period_from,period_to,c14_method,c14_lab_code,c14_bp,c14_error,c14_cal_from,c14_cal_to,lab_id,type_source,taxon_local,genus_species,photosynthetic_pathway,plant_domesticate,sample_type,wt_C,wt_N,CN_ratio,d13C,d15N,d34S,Sr87_Sr86,reference_short,doi,locality,admin_region,ecozone
Arica,Amaranthus deflexus,-18.478908,-70.320551,26.0,Modern,,,,,,,,,Amaranthus deflexus,Terrestrial flora,Bledo rastrero,Amaranthus deflexus,C4,No,,,,,-13.3,,,,Tieszen and Chapman (1992),DOI 10.1007/s10745-012-9509-0,"Arica Coast, Lluta River",Arica y Parinacota,Coast
Arica,Schinus molle,-18.478908,-70.320551,26.0,Modern,,,,,,,,,Schinus molle,Terrestrial flora,Molle,Schinus molle,C3,Managed,,,,,-24.8,,,,Tieszen and Chapman (1992),DOI 10.1007/s10745-012-9509-0,"Arica Coast, Lluta River",Arica y Parinacota,Coast
Arica,Browningia candelaris,-18.478908,-70.320551,26.0,Modern,,,,,,,,,Browningia candelaris,Terrestrial flora,"Sanki, cardón",Browningia candelaris,CAM,No,,,,,-12.2,,,,Tieszen and Chapman (1992),DOI 10.1007/s10745-012-9509-0,"Arica Coast, Lluta River",Arica y Parinacota,Coast
Arica,Cumulopuntia ignescens,-18.478908,-70.320551,26.0,Modern,,,,,,,,,Cumulopuntia ignescens,Terrestrial flora,Piskayu,Cumulopuntia ignescens,CAM,No,,,,,-13.6,,,,Tieszen and Chapman (1992),DOI 10.1007/s10745-012-9509-0,"Arica Coast, Lluta River",Arica y Parinacota,Coast
Arica,Cylindropuntia tunicata,-18.478908,-70.320551,26.0,Modern,,,,,,,,,Cylindropuntia tunicata,Terrestrial flora,Cactus (atoq-waqachi),Cylindropuntia tunicata,CAM,No,,,,,-13.2,,,,Tieszen and Chapman (1992),DOI 10.1007/s10745-012-9509-0,"Arica Coast, Lluta River",Arica y Parinacota,Coast
Arica,Haageocereus fascicularis,-18.478908,-70.320551,26.0,Modern,,,,,,,,,Haageocereus fascicularis,Terrestrial flora,Cactus (quisco de la precordillera de Arica),Haageocereus fascicularis,CAM,No,,,,,-10.7,,,,Tieszen and Chapman (1992),DOI 10.1007/s10745-012-9509-0,"Arica Coast, Lluta River",Arica y Parinacota,Coast
Arica,Stellaria cuspidata,-18.478908,-70.320551,26.0,Modern,,,,,,,,,Stellaria cuspidata,Terrestrial flora,Mexican chickweed,Stellaria cuspidata,C3,No,,,,,-23.8,,,,Tieszen and Chapman (1992),DOI 10.1007/s10745-012-9509-0,"Arica Coast, Lluta River",Arica y Parinacota,Coast
Arica,Atriplex atacamensis,-18.478908,-70.320551,26.0,Modern,,,,,,,,,Atriplex atacamensis,Terrestrial flora,Cachiyuyo,Atriplex atacamensis,C4,No,,,,,-17.3,,,,Tieszen and Chapman (1992),DOI 10.1007/s10745-012-9509-0,"Arica Coast, Lluta River",Arica y Parinacota,Coast
Arica,Chenopodium ambrosioides,-18.478908,-70.320551,26.0,Modern,,,,,,,,,Chenopodium ambrosioides,Terrestrial flora,"Paicco, hierba del gallinazo",Chenopodium ambrosioides,,No,,,,,-27.0,,,,Tieszen and Chapman (1992),DOI 10.1007/s10745-012-9509-0,"Arica Coast, Lluta River",Arica y Parinacota,Coast
Arica,Baccharis salicifolia,-18.478908,-70.320551,26.0,Modern,,,,,,,,,Baccharis salicifolia,Terrestrial flora,Chilca,Baccharis salicifolia,C3,No,,,,,-24.8,,,,Tieszen and Chapman (1992),DOI 10.1007/s10745-012-9509-0,"Arica Coast, Lluta River",Arica y Parinacota,Coast
