site_name,lat,lon,altitude_masl,locality,admin_region,ecozone,period,period_from,period_to
Acha 2,-18.34947,-70.343383,45.0,"Acha Ravine, Lower Azapa Valley",Arica y Parinacota,Coast,Early Archaic (Northern Chile),-8000.0,-5000.0
Acha 3,-18.5041,-70.2799,88.0,Arica Coast,Arica y Parinacota,Coast,Early Archaic (Northern Chile),-8000.0,-5000.0
Alero Ampahuasi,-21.9114,-68.5922,3128.0,"Upper Loa basin, Calama",Antofagasta,Precordillera,Formative Period (Northern Chile),-1500.0,400.0
Ancachi,-21.61,-69.57,800.0,"North to Quillagua Oases, Loa basin",Antofagasta,Lowlands,Formative Period (Northern Chile),-1500.0,400.0
Arica,-18.478908,-70.320551,26.0,"Arica Coast, Lluta River",Arica y Parinacota,Coast,Modern,,
Autoclub,-23.705123,-70.425649,1.0,Coast of,Antofagasta,Coast,Late Intermediate Period (Northern Chile),900.0,1485.0
Azapa - Indet,,,,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,,Late Intermediate Period (Northern Chile),1224.0,1277.0
Azapa 11 (AZ-11),-18.546317,-70.120671,505.0,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands,Late Intermediate Period (Northern Chile),1000.0,1450.0
Azapa 11 (Az-11),-18.522937,-70.183064,356.0,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands,Late Intermediate Period (Northern Chile),1218.0,1273.0
Azapa 115,-18.515454,-70.1180265,267.0,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands,Late Formative (Northern Chile),-500.0,100.0
Azapa 115 (AZ-115),-18.515454,-70.1180265,267.0,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands,Formative Period (Northern Chile),-2000.0,500.0
Azapa 122 (AZ-122),-18.514676,-70.227793,197.0,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands,Formative Period (Northern Chile),-1500.0,500.0
Azapa 14,-18.520743,-70.219859,234.0,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands,Early Formative (Northern Chile),-1500.0,-500.0
Azapa 14 (AZ-14),-18.520743,-70.219859,234.0,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands,Formative Period (Northern Chile),-2000.0,-1.0
Azapa 14 (Az-14),-18.520743,-70.219859,234.0,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands,Late Intermediate Period (Northern Chile),1314.0,1400.0
Azapa 140 (AZ-140),-18.5381,-70.1668,356.0,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands,Middle Horizon (Northern Chile),750.0,1100.0
Azapa 141,-18.545111,-70.1543,360.0,San Miguel de Azapa,Arica y Parinacota,Lowlands,,,
Azapa 141 (AZ-141),-18.545111,-70.1543,360.0,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands,Middle Horizon (Northern Chile),500.0,1000.0
Azapa 141 (Az-141),-18.545111,-70.1543,360.0,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands,Late Intermediate Period (Northern Chile),1272.0,1380.0
Azapa 146,-18.545036,-70.149496,356.0,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands,Early Formative (Northern Chile),-1500.0,-500.0
Azapa 15 (Az-15),-18.545111,-70.1543,360.0,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands,Late Period (Northern Chile),1506.0,1641.0
Azapa 6,-18.5222,-70.1543,360.0,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands,Late Intermediate Period/Pica phase,1000.0,1400.0
